route_id,driver_id,stop_id,planned_sequence,actual_sequence,lat,lng,service_time_min,planned_distance,actual_distance,planned_duration,actual_duration
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_01,1,1,59.937345,10.699104,4.7,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_02,2,2,59.939919,10.710603,3.3,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_03,3,3,59.974667,10.727863,3.0,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_04,4,4,59.99088,10.708598,6.1,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_05,5,5,59.931771,10.672933,5.6,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_06,6,6,59.955339,10.67435,7.9,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_07,7,7,59.945313,10.676986,6.1,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_08,8,8,59.954295,10.730543,5.3,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_09,9,9,59.982943,10.712368,5.3,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_10,10,10,59.932143,10.728082,5.8,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_11,11,11,59.954472,10.672508,4.2,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_12,12,12,59.945808,10.712545,6.0,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_13,13,13,59.981339,10.681951,5.0,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_14,14,14,59.942281,10.716871,5.1,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_15,15,15,59.943823,10.705612,3.2,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_16,16,16,59.981884,10.698535,5.0,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_17,17,17,59.986946,10.715186,4.6,56.19,58.7,342.9,357.1
RO_OSLO_001,DRV_102,STP_RO_OSLO_001_18,18,18,59.965574,10.7028,7.8,56.19,58.7,342.9,357.1
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_01,1,1,59.89865,10.694071,7.0,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_02,2,2,59.870561,10.744829,6.9,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_03,3,3,59.878011,10.685947,7.1,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_04,4,4,59.9085,10.729356,6.9,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_05,5,5,59.870531,10.707124,3.6,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_06,6,6,59.917875,10.723014,4.7,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_07,7,7,59.869902,10.704275,4.6,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_08,8,8,59.909865,10.723869,7.4,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_09,9,9,59.894421,10.692791,6.6,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_10,10,10,59.911735,10.719292,6.9,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_11,11,11,59.895716,10.71698,5.1,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_12,12,12,59.867614,10.692089,3.2,58.15,59.74,341.7,352.6
RO_OSLO_002,DRV_103,STP_RO_OSLO_002_13,13,13,59.904273,10.704477,5.5,58.15,59.74,341.7,352.6
